1,Res,W,L,K,D,TK,Min,Sec,DmgG,DmgR,PkD,HitPercent,2,Res,W,L,K,D,TK,Min,Sec,DmgG,DmgR,PkD,HitPercent,3,Res,W,L,K,D,TK,Min,Sec,DmgG,DmgR,PkD,HitPercent,4,Res,W,L,K,D,TK,Min,Sec,DmgG,DmgR,PkD,HitPercent,5,Res,W,L,K,D,TK,Min,Sec,DmgG,DmgR,PkD,HitPercent,6,Res,W,L,K,D,TK,Min,Sec,DmgG,DmgR,PkD,HitPercent,7,Res,W,L,K,D,TK,Min,Sec,DmgG,DmgR,PkD,HitPercent,8,Res,W,L,K,D,TK,Min,Sec,DmgG,DmgR,PkD,HitPercent,9,Res,W,L,K,D,TK,Min,Sec,DmgG,DmgR,PkD,HitPercent,10,Res,W,L,K,D,TK,Min,Sec,DmgG,DmgR,PkD,HitPercent
Zenith,L,,1,2,3,1,3,47,204,517,233,15,Zenith,W,1,,3,3,0,3,46,303,342,142,38,Zenith,L,,1,0,3,0,2,57,144,335,126,34,Zenith,L,,1,1,3,1,4,9,257,353,131,48,Zenith,W,1,,2,3,0,2,3,109,184,114,33,Zenith,No,,,,,,,,,,,,Zenith,W,1,,2,0,0,2,9,113,123,123,23,Zenith,W,1,,5,1,0,3,53,267,261,153,25,Zenith,W,1,,3,2,0,4,8,254,416,145,23,Zenith,W,1,,1,2,0,2,57,256,210,121,44
Zenith,W,1,,6,2,0,3,22,231,250,108,27,Zenith,L,,1,1,3,0,4,14,231,372,144,40,Zenith,W,1,,0,2,0,3,49,132,322,134,23,Zenith,W,1,,0,3,0,1,49,67,274,153,21,Zenith,W,1,,1,2,0,4,20,132,321,149,20,Zenith,No,,,,,,,,,,,,Zenith,L,,1,1,3,1,4,34,321,468,175,32,Zenith,L,,1,3,3,0,4,20,382,423,200,33,Zenith,L,,1,2,3,0,3,1,431,246,156,42,Zenith,L,,1,2,3,1,3,5,151,337,136,27
