1,Res,W,L,K,D,TK,Min,Sec,DmgG,DmgR,PkD,Hit%,1,Res,W,L,K,D,TK,Min,Sec,DmgG,DmgR,PkD,Hit%,2,Res,W,L,K,D,TK,Min,Sec,DmgG,DmgR,PkD,Hit%,2,Res,W,L,K,D,TK,Min,Sec,DmgG,DmgR,PkD,Hit%,3,Res,W,L,K,D,TK,Min,Sec,DmgG,DmgR,PkD,Hit%,3,Res,W,L,K,D,TK,Min,Sec,DmgG,DmgR,PkD,Hit%,4,Res,W,L,K,D,TK,Min,Sec,DmgG,DmgR,PkD,Hit%,4,Res,W,L,K,D,TK,Min,Sec,DmgG,DmgR,PkD,Hit%,5,Res,W,L,K,D,TK,Min,Sec,DmgG,DmgR,PkD,Hit%,5,Res,W,L,K,D,TK,Min,Sec,DmgG,DmgR,PkD,Hit%,6,Res,W,L,K,D,TK,Min,Sec,DmgG,DmgR,PkD,Hit%,6,Res,W,L,K,D,TK,Min,Sec,DmgG,DmgR,PkD,Hit%,7,Res,W,L,K,D,TK,Min,Sec,DmgG,DmgR,PkD,Hit%,7,Res,W,L,K,D,TK,Min,Sec,DmgG,DmgR,PkD,Hit%
Jereden,L,,1,1,3,0,3,23,243,313,118,36,Jereden,L,,1,1,3,0,2,14,179,328,152,46,Jereden,No,,,,,,,,,,,,Jereden,No,,,,,,,,,,,,Jereden,L,,1,1,3,1,3,14,287,350,135,32,Jereden,L,,1,3,3,0,4,27,468,275,126,43,Jereden,No,,,,,,,,,,,,Jereden,No,,,,,,,,,,,,Jereden,W,1,,0,2,0,2,47,273,265,115,36,Jereden,W,1,,2,2,1,3,4,388,311,133,40,Jereden,L,,1,1,3,0,3,33,185,335,130,31,Jereden,W,1,,1,2,0,3,20,484,307,127,51,Jereden,W,1,,3,3,0,4,29,419,420,168,35,Jereden,L,,1,1,3,0,4,57,310,401,153,30
Kamtron,L,,1,,,,,,,,,,Kamtron,L,,1,,,,,,,,,,Kamtron,Lt,1,1,,,,,,,,,,Kamtron,Lt,1,1,,,,,,,,,,Kamtron,Lt,1,1,,,,,,,,,,Kamtron,Lt,1,1,,,,,,,,,,Kamtron,L,,1,3,3,1,4,2,355,396,192,31,Kamtron,L,,1,1,3,0,3,34,124,479,209,22,Kamtron,W,1,,2,3,0,3,31,341,403,150,39,Kamtron,W,1,,2,3,0,2,37,296,294,151,30,Kamtron,W,1,,0,3,0,2,49,179,319,134,29,Kamtron,L,,1,0,3,0,1,54,82,353,131,17,Kamtron,L,,1,0,3,0,2,0,102,256,111,28,Kamtron,L,,1,0,4,0,4,35,211,464,180,21
KingONerds,L,,1,2,3,1,3,57,284,344,137,39,KingONerds,L,,1,3,3,0,2,38,275,387,158,33,KingONerds,W,1,,2,1,2,3,54,279,215,176,26,KingONerds,W,1,,2,1,1,3,8,232,255,144,31,KingONerds,W,1,,3,2,1,3,44,247,379,132,26,KingONerds,W,1,,2,2,0,3,20,381,216,109,41,KingONerds,W,1,,1,3,0,3,45,290,389,164,29,KingONerds,L,,1,0,3,0,3,17,260,355,142,33,KingONerds,W,1,,4,2,0,2,52,225,288,141,20,KingONerds,L,,1,0,3,1,2,31,176,320,159,29,KingONerds,L,,1,1,3,0,2,21,163,246,112,20,KingONerds,L,,1,1,3,0,5,6,331,505,180,37,KingONerds,L,,1,3,3,0,3,18,284,450,166,31,KingONerds,L,,1,2,2,0,3,23,162,265,154,21
LeonStrife,W,1,,2,1,0,3,37,446,276,168,38,LeonStrife,L,,1,1,3,1,2,20,205,381,131,30,LeonStrife,W,1,,5,0,0,2,23,381,112,112,57,LeonStrife,W,1,,3,1,0,2,25,242,318,188,40,LeonStrife,No,,,,,,,,,,,,LeonStrife,No,,,,,,,,,,,,LeonStrife,W,1,,4,2,0,3,30,293,363,150,34,LeonStrife,L,,1,3,3,0,4,56,498,405,169,40,LeonStrife,W,1,,3,3,1,3,45,401,468,198,37,LeonStrife,W,1,,4,2,0,3,26,498,352,150,50,LeonStrife,No,,,,,,,,,,,,LeonStrife,No,,,,,,,,,,,,LeonStrife,W,1,,2,2,1,3,38,315,230,148,53,LeonStrife,W,1,,2,2,2,4,56,503,422,164,38
marcman,L,,1,1,3,0,2,36,215,333,124,37,marcman,W,1,,1,1,1,2,20,230,117,100,53,marcman,W,1,,2,2,0,3,36,357,348,153,40,marcman,W,1,,2,1,1,4,3,373,183,147,57,marcman,W,1,,2,2,0,5,17,426,352,154,32,marcman,W,1,,0,2,0,2,36,132,161,115,36,marcman,W,1,,1,2,1,4,13,280,415,150,28,marcman,W,1,,2,2,0,5,25,367,274,159,31,marcman,L,,1,2,3,0,4,11,204,406,173,25,marcman,L,,1,3,3,0,3,15,324,285,136,48,marcman,W,1,,6,1,1,3,33,571,143,126,39,marcman,W,1,,4,2,1,5,6,754,261,114,39,marcman,L,,1,1,3,0,4,13,328,380,182,41,marcman,L,,1,1,3,1,2,30,252,284,101,40
meleemastr,L,,1,0,3,0,3,25,204,530,276,24,meleemastr,L,,1,1,3,0,2,21,189,308,118,35,meleemastr,L,,1,1,3,1,3,54,312,388,145,35,meleemastr,W,1,,2,1,0,2,46,282,169,124,42,meleemastr,L,,1,2,2,2,2,38,227,325,134,40,meleemastr,W,1,,3,2,0,5,15,381,454,244,39,meleemastr,W,1,,4,2,2,2,40,282,255,130,27,meleemastr,W,1,,3,2,0,2,54,331,185,111,39,meleemastr,W,1,,3,2,0,4,6,368,355,118,38,meleemastr,W,1,,4,2,0,3,19,383,263,159,35,meleemastr,W,1,,3,1,0,2,37,146,235,146,26,meleemastr,W,1,,3,2,0,4,2,321,362,136,40,meleemastr,L,,1,1,3,2,2,9,237,264,96,35,meleemastr,L,,1,0,3,0,3,8,216,429,194,35
Moonjuice7,Lt,1,1,,,,,,,,,,Moonjuice7,Lt,1,1,,,,,,,,,,Moonjuice7,L,,1,4,2,0,5,13,352,642,216,26,Moonjuice7,L,,1,2,3,0,3,53,310,387,146,36,Moonjuice7,L,,1,2,3,1,3,56,283,387,151,30,Moonjuice7,W,1,,2,2,1,4,1,236,347,145,26,Moonjuice7,W,1,,5,2,1,4,17,307,263,125,39,Moonjuice7,L,,1,1,3,0,2,39,80,383,140,23,Moonjuice7,L,,1,0,3,1,5,2,271,470,169,28,Moonjuice7,L,,1,1,3,0,3,53,154,336,115,17,Moonjuice7,W,1,,1,2,0,4,26,333,299,154,28,Moonjuice7,L,,1,2,2,1,2,48,243,245,93,51,Moonjuice7,W,1,,1,3,0,2,3,152,159,130,27,Moonjuice7,W,1,,2,3,0,4,8,217,392,139,31
Mustard,Lt,1,1,,,,,,,,,,Mustard,Lt,1,1,,,,,,,,,,Mustard,Lt,1,1,,,,,,,,,,Mustard,Lt,1,1,,,,,,,,,,Mustard,Lt,1,1,,,,,,,,,,Mustard,Lt,1,1,,,,,,,,,,Mustard,L,,1,2,3,0,2,3,351,199,139,34,Mustard,W,1,,1,2,0,3,7,304,264,125,30,Mustard,L,,1,1,3,0,2,41,215,268,121,20,Mustard,W,1,,2,3,0,2,14,246,294,109,29,Mustard,No,,,,,,,,,,,,Mustard,No,,,,,,,,,,,,Mustard,L,,1,1,3,0,3,36,321,422,157,29,Mustard,L,,1,2,2,2,2,22,309,226,130,33
MythrilZen,W,1,,2,2,0,3,59,335,281,129,40,MythrilZen,L,,1,0,3,0,1,45,175,424,139,48,MythrilZen,W,1,,3,3,1,2,58,253,311,165,26,MythrilZen,L,,1,1,3,1,2,25,183,357,157,20,MythrilZen,L,,1,0,2,1,0,57,32,92,57,26,MythrilZen,W,1,,2,3,0,3,51,329,494,204,39,MythrilZen,W,1,,3,2,1,2,48,454,332,106,36,MythrilZen,L,,1,4,3,2,2,48,404,456,168,56,MythrilZen,W,1,,4,1,1,5,2,547,313,157,32,MythrilZen,L,,1,0,3,0,2,35,118,435,195,26,MythrilZen,Lt,1,1,,,,,,,,,,MythrilZen,Lt,1,1,,,,,,,,,,MythrilZen,Lt,1,1,,,,,,,,,,MythrilZen,Lt,1,1,,,,,,,,,
PawnStar,W,1,,2,2,0,2,21,219,271,149,45,PawnStar,L,,1,2,3,0,2,56,181,328,143,30,PawnStar,W,1,,1,3,0,5,13,454,386,104,37,PawnStar,W,1,,1,3,0,3,8,240,354,140,40,PawnStar,L,,1,2,3,0,3,7,251,383,149,31,PawnStar,L,,1,2,3,0,3,20,158,397,213,27,PawnStar,No,,,,,,,,,,,,PawnStar,L,,1,0,3,0,2,16,143,276,102,45,PawnStar,L,,1,1,3,0,3,40,217,323,131,27,PawnStar,L,,1,2,3,0,3,19,176,407,169,34,PawnStar,L,,1,0,3,0,2,4,58,223,116,61,PawnStar,L,,1,2,3,0,4,11,380,372,162,41,PawnStar,No,,,,,,,,,,,,PawnStar,No,,,,,,,,,,,
PizzaThief,Lt,1,1,,,,,,,,,,PizzaThief,Lt,1,1,,,,,,,,,,PizzaThief,L,,1,2,2,0,3,7,273,280,143,30,PizzaThief,W,1,,2,2,0,2,25,189,286,139,21,PizzaThief,L,,1,2,3,0,3,18,331,383,149,23,PizzaThief,L,,1,3,3,0,3,32,339,348,125,34,PizzaThief,L,,1,3,2,0,2,14,136,255,114,21,PizzaThief,W,1,,3,2,1,3,52,327,286,147,25,PizzaThief,L,,1,3,3,1,2,47,326,296,134,42,PizzaThief,W,1,,1,3,0,2,30,330,301,112,37,PizzaThief,L,,1,2,3,0,2,44,162,311,112,33,PizzaThief,W,1,,0,3,0,3,39,195,333,144,28,PizzaThief,L,,1,2,3,1,4,37,364,439,163,23,PizzaThief,L,,1,4,3,0,2,48,338,321,131,38
Precision,W,1,,4,1,0,4,17,364,219,110,38,Precision,W,1,,4,1,0,4,0,421,287,160,48,Precision,W,1,,1,1,0,2,23,230,301,178,46,Precision,W,1,,4,1,0,3,4,472,255,171,33,Precision,L,,1,1,3,0,3,17,298,363,140,34,Precision,W,1,,3,2,0,6,15,400,362,191,37,Precision,W,1,,4,2,0,4,13,409,360,162,46,Precision,W,1,,3,2,0,2,48,434,195,95,50,Precision,W,1,,4,2,0,4,43,559,243,100,42,Precision,W,1,,3,2,0,3,15,451,187,114,47,Precision,W,1,,3,1,1,5,48,558,231,128,33,Precision,W,1,,5,1,0,3,20,489,272,125,42,Precision,W,1,,5,2,0,3,36,378,307,135,46,Precision,W,1,,4,2,0,5,58,597,329,120,40
Sharknado,W,1,,0,3,1,1,58,163,334,154,29,Sharknado,L,,1,1,3,1,3,11,296,417,156,30,Sharknado,L,,1,0,4,0,2,23,131,371,115,33,Sharknado,W,1,,0,3,1,3,33,250,295,114,29,Sharknado,L,,1,1,4,0,3,33,325,417,105,31,Sharknado,L,,1,2,4,0,3,3,208,391,123,21,Sharknado,L,,1,0,3,1,2,40,218,286,128,31,Sharknado,W,1,,1,3,0,4,9,344,439,174,29,Sharknado,W,1,,5,2,0,2,47,286,297,122,26,Sharknado,L,,1,1,3,0,2,0,187,300,110,34,Sharknado,W,1,,1,3,0,0,57,126,231,94,29,Sharknado,L,,1,2,3,0,4,4,447,364,170,40,Sharknado,W,1,,1,2,0,3,36,366,334,163,25,Sharknado,W,1,,2,2,1,4,15,252,423,160,31
Sheikmastr,L,,1,1,3,1,3,59,315,292,116,51,Sheikmastr,W,1,,2,2,0,2,56,293,275,155,30,Sheikmastr,L,,1,1,3,0,2,25,126,201,109,31,Sheikmastr,W,1,,2,3,1,2,59,241,234,117,32,Sheikmastr,W,1,,3,1,1,3,56,457,220,118,45,Sheikmastr,L,,1,0,3,1,5,15,341,386,154,38,Sheikmastr,L,,1,1,3,0,4,19,254,380,150,55,Sheikmastr,L,,1,1,3,1,3,52,165,285,147,31,Sheikmastr,L,,1,2,3,0,3,57,341,336,175,48,Sheikmastr,L,,1,3,3,0,4,20,350,261,160,31,Sheikmastr,L,,1,3,3,1,5,38,338,359,143,33,Sheikmastr,L,,1,1,3,1,4,10,318,377,157,44,Sheikmastr,L,,1,1,3,0,3,42,194,374,154,32,Sheikmastr,L,,1,2,3,0,3,38,219,418,161,37
SnorHAX,Lt,1,1,,,,,,,,,,SnorHAX,Lt,1,1,,,,,,,,,,SnorHAX,L,,1,3,3,0,2,48,287,372,148,45,SnorHAX,W,1,,3,2,0,5,39,484,389,140,54,SnorHAX,W,1,,4,2,0,4,1,500,368,149,29,SnorHAX,L,,1,4,3,0,6,15,441,513,183,34,SnorHAX,L,,1,2,2,1,3,34,327,294,157,46,SnorHAX,W,1,,6,2,0,4,57,481,284,145,32,SnorHAX,L,,1,3,3,0,4,43,447,543,180,42,SnorHAX,W,1,,4,2,1,4,20,543,301,105,52,SnorHAX,W,1,,3,1,0,2,37,303,183,173,46,SnorHAX,W,1,,4,0,0,3,31,478,173,155,51,SnorHAX,W,1,,2,1,0,2,9,321,174,115,54,SnorHAX,W,1,,3,2,0,2,30,414,180,102,53
sotrh,W,1,,2,1,1,4,28,445,288,173,34,sotrh,W,1,,0,2,0,3,37,211,295,167,40,sotrh,W,1,,3,2,1,5,13,462,251,146,37,sotrh,L,,1,0,3,0,3,4,157,343,140,25,sotrh,W,1,,1,2,0,3,7,250,200,97,38,sotrh,L,,1,0,3,0,3,26,313,363,132,51,sotrh,No,,,,,,,,,,,,sotrh,No,,,,,,,,,,,,sotrh,No,,,,,,,,,,,,sotrh,No,,,,,,,,,,,,sotrh,W,1,,4,2,1,2,53,365,262,129,53,sotrh,L,,1,3,3,0,3,20,222,516,203,26,sotrh,W,1,,3,3,0,3,17,210,298,151,38,sotrh,L,,1,3,3,0,4,56,363,428,146,46
Splice,L,,1,3,3,2,4,17,482,443,218,40,Splice,W,1,,0,2,0,3,22,264,356,124,28,Splice,W,1,,5,1,0,2,20,284,236,158,54,Splice,W,1,,3,3,0,5,32,455,422,168,52,Splice,W,1,,3,2,2,3,44,515,257,163,48,Splice,W,1,,3,2,0,6,15,382,295,153,35,Splice,L,,1,1,2,0,3,48,240,271,148,25,Splice,W,1,,3,2,1,5,25,391,375,137,25,Splice,W,1,,3,2,0,6,39,568,391,173,30,Splice,L,,1,2,3,0,3,26,390,400,150,30,Splice,W,1,,2,2,1,4,29,412,291,122,48,Splice,L,,1,3,3,0,4,6,233,420,168,35,Splice,W,1,,3,1,1,4,13,425,263,146,34,Splice,L,,1,3,3,2,4,15,413,409,163,38
TaiyoEXE,W,1,,0,3,0,2,1,181,254,126,36,TaiyoEXE,L,,1,1,3,0,3,22,219,301,119,25,TaiyoEXE,W,1,,3,2,0,2,48,295,253,148,44,TaiyoEXE,L,,1,2,3,0,2,46,160,321,180,28,TaiyoEXE,No,,,,,,,,,,,,TaiyoEXE,No,,,,,,,,,,,,TaiyoEXE,L,,1,3,4,0,2,48,454,332,106,45,TaiyoEXE,W,1,,1,2,0,2,48,165,240,149,39,TaiyoEXE,L,,1,2,3,0,2,2,174,292,139,21,TaiyoEXE,L,,1,3,3,1,2,54,304,329,151,44,TaiyoEXE,No,,,,,,,,,,,,TaiyoEXE,No,,,,,,,,,,,,TaiyoEXE,L,,1,0,3,1,2,21,274,502,208,42,TaiyoEXE,W,1,,1,2,1,4,34,376,230,107,50
UsEight,W,1,,3,1,1,2,21,241,170,159,40,UsEight,L,,1,2,3,1,3,29,396,403,148,36,UsEight,W,1,,3,2,0,2,57,223,327,144,37,UsEight,L,,1,4,3,0,5,39,456,478,172,42,UsEight,L,,1,3,3,0,3,49,270,373,182,28,UsEight,W,1,,2,2,0,5,17,451,364,179,31,UsEight,W,1,,1,2,0,4,17,334,430,203,31,UsEight,L,,1,3,3,1,5,25,422,556,170,28,UsEight,L,,1,1,3,0,2,52,182,321,129,30,UsEight,W,1,,3,2,0,5,45,374,315,157,29,UsEight,L,,1,2,3,0,3,20,199,374,146,29,UsEight,W,1,,6,2,0,4,6,275,324,189,26,UsEight,L,,1,0,3,0,4,34,234,401,168,26,UsEight,W,1,,2,1,0,2,41,235,147,115,25
Vars437,Lt,1,1,,,,,,,,,,Vars437,Lt,1,1,,,,,,,,,,Vars437,W,1,,1,3,0,2,30,175,275,113,37,Vars437,L,,1,1,3,3,3,8,338,206,143,41,Vars437,L,,1,3,3,0,4,1,378,359,144,44,Vars437,L,,1,1,3,0,2,43,356,350,138,32,Vars437,L,,1,1,3,0,2,56,291,280,132,32,Vars437,W,1,,4,1,0,5,15,502,282,153,47,Vars437,L,,1,1,3,0,1,33,144,192,77,32,Vars437,L,,1,3,3,0,2,51,226,369,154,45,Vars437,L,,1,0,3,1,5,48,379,392,144,32,Vars437,W,1,,2,2,0,5,6,216,327,156,19,Vars437,W,1,,1,3,0,3,16,189,305,157,25,Vars437,W,1,,2,1,1,2,30,152,212,111,21
Zenith,L,,1,2,3,1,3,47,204,517,233,15,Zenith,W,1,,6,2,0,3,22,231,250,108,27,Zenith,W,1,,3,3,0,3,46,303,342,142,38,Zenith,L,,1,1,3,0,4,14,231,372,144,40,Zenith,L,,1,0,3,0,2,57,144,335,126,34,Zenith,W,1,,0,2,0,3,49,132,322,134,23,Zenith,L,,1,1,3,1,4,9,257,353,131,48,Zenith,W,1,,0,3,0,1,49,67,274,153,21,Zenith,W,1,,2,3,0,2,3,109,184,114,33,Zenith,W,1,,1,2,0,4,20,132,321,149,20,Zenith,No,,,,,,,,,,,,Zenith,No,,,,,,,,,,,,Zenith,W,1,,2,0,0,2,9,113,123,123,23,Zenith,W,1,,1,3,1,4,34,321,468,175,32
Zero,W,1,,2,1,0,3,59,232,275,159,41,Zero,W,1,,3,0,0,2,52,183,161,161,41,Zero,L,,1,2,3,0,3,58,252,379,202,39,Zero,L,,1,1,2,1,4,3,236,356,198,40,Zero,L,,1,2,2,0,6,54,264,281,139,27,Zero,W,1,,2,2,0,3,56,203,198,119,43,Zero,W,1,,2,1,0,4,19,319,220,116,57,Zero,L,,1,1,3,1,5,15,305,445,161,42,Zero,L,,1,0,3,0,3,40,224,341,167,32,Zero,L,,1,3,3,0,3,7,145,378,135,20,Zero,L,,1,0,3,0,4,29,306,423,177,34,Zero,L,,1,2,3,0,3,59,154,423,178,33,Zero,W,1,,2,1,2,4,37,399,222,178,51,Zero,W,1,,1,1,1,4,35,403,143,102,39
FroCho,L,,1,1,3,1,3,37,405,371,153,35,FroCho,W,1,,2,2,0,2,36,233,289,120,38,FroCho,,,,,,,,,,,,,FroCho,,,,,,,,,,,,,FroCho,,,,,,,,,,,,,FroCho,,,,,,,,,,,,,FroCho,,,,,,,,,,,,,FroCho,,,,,,,,,,,,,FroCho,,,,,,,,,,,,,FroCho,,,,,,,,,,,,,FroCho,,,,,,,,,,,,,FroCho,,,,,,,,,,,,,FroCho,,,,,,,,,,,,,FroCho,,,,,,,,,,,,
