1,Res,W,L,K,D,TK,Min,Sec,DmgG,DmgR,PkD,Hit%,1,Res,W,L,K,D,TK,Min,Sec,DmgG,DmgR,PkD,Hit%,2,Res,W,L,K,D,TK,Min,Sec,DmgG,DmgR,PkD,Hit%,2,Res,W,L,K,D,TK,Min,Sec,DmgG,DmgR,PkD,Hit%,3,Res,W,L,K,D,TK,Min,Sec,DmgG,DmgR,PkD,Hit%,3,Res,W,L,K,D,TK,Min,Sec,DmgG,DmgR,PkD,Hit%,4,Res,W,L,K,D,TK,Min,Sec,DmgG,DmgR,PkD,Hit%,4,Res,W,L,K,D,TK,Min,Sec,DmgG,DmgR,PkD,Hit%,5,Res,W,L,K,D,TK,Min,Sec,DmgG,DmgR,PkD,Hit%,5,Res,W,L,K,D,TK,Min,Sec,DmgG,DmgR,PkD,Hit%,6,Res,W,L,K,D,TK,Min,Sec,DmgG,DmgR,PkD,Hit%,6,Res,W,L,K,D,TK,Min,Sec,DmgG,DmgR,PkD,Hit%,7,Res,W,L,K,D,TK,Min,Sec,DmgG,DmgR,PkD,Hit%,7,Res,W,L,K,D,TK,Min,Sec,DmgG,DmgR,PkD,Hit%,8,Res,W,L,K,D,TK,Min,Sec,DmgG,DmgR,PkD,Hit%,8,Res,W,L,K,D,TK,Min,Sec,DmgG,DmgR,PkD,Hit%,9,Res,W,L,K,D,TK,Min,Sec,DmgG,DmgR,PkD,Hit%,9,Res,W,L,K,D,TK,Min,Sec,DmgG,DmgR,PkD,Hit%
Jereden,L,,1,1,3,0,3,23,243,313,118,36,Jereden,L,,1,1,3,0,2,14,179,328,152,46,Jereden,No,,,,,,,,,,,,Jereden,No,,,,,,,,,,,,Jereden,L,,1,1,3,1,3,14,287,350,135,32,Jereden,L,,1,3,3,0,4,27,468,275,126,43,Jereden,No,,,,,,,,,,,,Jereden,No,,,,,,,,,,,,Jereden,W,1,,0,2,0,2,47,273,265,115,36,Jereden,W,1,,2,2,1,3,4,388,311,133,40,Jereden,L,,1,1,3,0,3,33,185,335,130,31,Jereden,W,1,,1,2,0,3,20,484,307,127,51,Jereden,W,1,,3,3,0,4,29,419,420,168,35,Jereden,L,,1,1,3,0,4,57,310,401,153,30,Jereden,No,,,,,,,,,,,,Jereden,No,,,,,,,,,,,,Jereden,W,1,,0,3,0,2,38,278,280,126,47,Jereden,L,,1,0,3,1,2,28,222,292,144,18
Kamtron,L,,1,,,,,,,,,,Kamtron,L,,1,,,,,,,,,,Kamtron,Lt,1,1,,,,,,,,,,Kamtron,Lt,1,1,,,,,,,,,,Kamtron,Lt,1,1,,,,,,,,,,Kamtron,Lt,1,1,,,,,,,,,,Kamtron,L,,1,3,3,1,4,2,355,396,192,31,Kamtron,L,,1,1,3,0,3,34,124,479,209,22,Kamtron,W,1,,2,3,0,3,31,341,403,150,39,Kamtron,W,1,,2,3,0,2,37,296,294,151,30,Kamtron,W,1,,0,3,0,2,49,179,319,134,29,Kamtron,L,,1,0,3,0,1,54,82,353,131,17,Kamtron,L,,1,0,3,0,2,0,102,256,111,28,Kamtron,L,,1,0,4,0,4,35,211,464,180,21,Kamtron,L,,1,0,3,0,2,23,201,291,118,41,Kamtron,L,,1,0,3,1,3,16,281,405,148,28,Kamtron,L,,1,0,3,0,2,37,178,351,131,34,Kamtron,W,1,,4,2,0,3,1,259,314,171,45
KingONerds,L,,1,2,3,1,3,57,284,344,137,39,KingONerds,L,,1,3,3,0,2,38,275,387,158,33,KingONerds,W,1,,2,1,2,3,54,279,215,176,26,KingONerds,W,1,,2,1,1,3,8,232,255,144,31,KingONerds,W,1,,3,2,1,3,44,247,379,132,26,KingONerds,W,1,,2,2,0,3,20,381,216,109,41,KingONerds,W,1,,1,3,0,3,45,290,389,164,29,KingONerds,L,,1,0,3,0,3,17,260,355,142,33,KingONerds,W,1,,4,2,0,2,52,225,288,141,20,KingONerds,L,,1,0,3,1,2,31,176,320,159,29,KingONerds,L,,1,1,3,0,2,21,163,246,112,20,KingONerds,L,,1,1,3,0,5,6,331,505,180,37,KingONerds,L,,1,3,3,0,3,18,284,450,166,31,KingONerds,L,,1,2,2,0,3,23,162,265,154,21,KingONerds,No,,,,,,,,,,,,KingONerds,No,,,,,,,,,,,,KingONerds,W,1,,2,1,2,5,31,428,299,201,27,KingONerds,W,1,,4,2,1,5,44,335,452,165,22
LeonStrife,W,1,,2,1,0,3,37,446,276,168,38,LeonStrife,L,,1,1,3,1,2,20,205,381,131,30,LeonStrife,W,1,,5,0,0,2,23,381,112,112,57,LeonStrife,W,1,,3,1,0,2,25,242,318,188,40,LeonStrife,No,,,,,,,,,,,,LeonStrife,No,,,,,,,,,,,,LeonStrife,W,1,,4,2,0,3,30,293,363,150,34,LeonStrife,L,,1,3,3,0,4,56,498,405,169,40,LeonStrife,W,1,,3,3,1,3,45,401,468,198,37,LeonStrife,W,1,,4,2,0,3,26,498,352,150,50,LeonStrife,No,,,,,,,,,,,,LeonStrife,No,,,,,,,,,,,,LeonStrife,W,1,,2,2,1,3,38,315,230,148,53,LeonStrife,W,1,,2,2,2,4,56,503,422,164,38,LeonStrife,W,1,,4,3,0,2,44,242,325,187,38,LeonStrife,W,1,,5,1,0,2,5,417,198,138,28,LeonStrife,W,1,,3,2,0,3,30,329,310,141,43,LeonStrife,W,1,,4,1,1,2,35,416,167,167,60
marcman,L,,1,1,3,0,2,36,215,333,124,37,marcman,W,1,,1,1,1,2,20,230,117,100,53,marcman,W,1,,2,2,0,3,36,357,348,153,40,marcman,W,1,,2,1,1,4,3,373,183,147,57,marcman,W,1,,2,2,0,5,17,426,352,154,32,marcman,W,1,,0,2,0,2,36,132,161,115,36,marcman,W,1,,1,2,1,4,13,280,415,150,28,marcman,W,1,,2,2,0,5,25,367,274,159,31,marcman,L,,1,2,3,0,4,11,204,406,173,25,marcman,L,,1,3,3,0,3,15,324,285,136,48,marcman,W,1,,6,1,1,3,33,571,143,126,39,marcman,W,1,,4,2,1,5,6,754,261,114,39,marcman,L,,1,1,3,0,4,13,328,380,182,41,marcman,L,,1,1,3,1,2,30,252,284,101,40,marcman,W,1,,5,2,1,3,23,468,314,121,33,marcman,L,,1,3,3,0,5,32,362,298,101,28,marcman,W,1,,2,3,0,4,40,301,426,152,36,marcman,W,1,,3,3,0,3,47,420,354,177,39
meleemastr,L,,1,0,3,0,3,25,204,530,276,24,meleemastr,L,,1,1,3,0,2,21,189,308,118,35,meleemastr,L,,1,1,3,1,3,54,312,388,145,35,meleemastr,W,1,,2,1,0,2,46,282,169,124,42,meleemastr,L,,1,2,2,2,2,38,227,325,134,40,meleemastr,W,1,,3,2,0,5,15,381,454,244,39,meleemastr,W,1,,4,2,2,2,40,282,255,130,27,meleemastr,W,1,,3,2,0,2,54,331,185,111,39,meleemastr,W,1,,3,2,0,4,6,368,355,118,38,meleemastr,W,1,,4,2,0,3,19,383,263,159,35,meleemastr,W,1,,3,1,0,2,37,146,235,146,26,meleemastr,W,1,,3,2,0,4,2,321,362,136,40,meleemastr,L,,1,1,3,2,2,9,237,264,96,35,meleemastr,L,,1,0,3,0,3,8,216,429,194,35,meleemastr,W,1,,3,1,0,3,19,308,240,140,25,meleemastr,W,1,,1,2,0,3,59,333,301,106,34,meleemastr,W,1,,5,2,1,4,40,559,316,141,47,meleemastr,W,1,,6,2,0,3,55,529,362,170,37
Moonjuice7,Lt,1,1,,,,,,,,,,Moonjuice7,Lt,1,1,,,,,,,,,,Moonjuice7,L,,1,4,2,0,5,13,352,642,216,26,Moonjuice7,L,,1,2,3,0,3,53,310,387,146,36,Moonjuice7,L,,1,2,3,1,3,56,283,387,151,30,Moonjuice7,W,1,,2,2,1,4,1,236,347,145,26,Moonjuice7,W,1,,5,2,1,4,17,307,263,125,39,Moonjuice7,L,,1,1,3,0,2,39,80,383,140,23,Moonjuice7,L,,1,0,3,1,5,2,271,470,169,28,Moonjuice7,L,,1,1,3,0,3,53,154,336,115,17,Moonjuice7,W,1,,1,2,0,4,26,333,299,154,28,Moonjuice7,L,,1,2,2,1,2,48,243,245,93,51,Moonjuice7,W,1,,1,3,0,2,3,152,159,130,27,Moonjuice7,W,1,,2,3,0,4,8,217,392,139,31,Moonjuice7,W,1,,3,1,0,3,19,307,234,127,42,Moonjuice7,No,,,,,,,,,,,,Moonjuice7,L,,1,0,3,0,4,21,204,377,134,39,Moonjuice7,W,1,,0,3,0,2,38,220,349,144,42
Mustard,Lt,1,1,,,,,,,,,,Mustard,Lt,1,1,,,,,,,,,,Mustard,Lt,1,1,,,,,,,,,,Mustard,Lt,1,1,,,,,,,,,,Mustard,Lt,1,1,,,,,,,,,,Mustard,Lt,1,1,,,,,,,,,,Mustard,L,,1,2,3,0,2,3,351,199,139,34,Mustard,W,1,,1,2,0,3,7,304,264,125,30,Mustard,L,,1,1,3,0,2,41,215,268,121,20,Mustard,W,1,,2,3,0,2,14,246,294,109,29,Mustard,No,,,,,,,,,,,,Mustard,No,,,,,,,,,,,,Mustard,L,,1,1,3,0,3,36,321,422,157,29,Mustard,L,,1,2,2,2,2,22,309,226,130,33,Mustard,L,,1,3,3,1,3,23,349,358,147,30,Mustard,L,,1,2,3,0,3,45,214,417,202,17,Mustard,L,,1,1,3,0,2,50,207,354,166,21,Mustard,W,1,,1,3,0,3,8,248,382,140,28
MythrilZen,W,1,,2,2,0,3,59,335,281,129,40,MythrilZen,L,,1,0,3,0,1,45,175,424,139,48,MythrilZen,W,1,,3,3,1,2,58,253,311,165,26,MythrilZen,L,,1,1,3,1,2,25,183,357,157,20,MythrilZen,L,,1,0,2,1,0,57,32,92,57,26,MythrilZen,W,1,,2,3,0,3,51,329,494,204,39,MythrilZen,W,1,,3,2,1,2,48,454,332,106,36,MythrilZen,L,,1,4,3,2,2,48,404,456,168,56,MythrilZen,W,1,,4,1,1,5,2,547,313,157,32,MythrilZen,L,,1,0,3,0,2,35,118,435,195,26,MythrilZen,Lt,1,1,,,,,,,,,,MythrilZen,Lt,1,1,,,,,,,,,,MythrilZen,Lt,1,1,,,,,,,,,,MythrilZen,Lt,1,1,,,,,,,,,,MythrilZen,Lt,1,1,,,,,,,,,,MythrilZen,Lt,1,1,,,,,,,,,,MythrilZen,Lt,1,1,,,,,,,,,,MythrilZen,Lt,1,1,,,,,,,,,
PawnStar,W,1,,2,2,0,2,21,219,271,149,45,PawnStar,L,,1,2,3,0,2,56,181,328,143,30,PawnStar,W,1,,1,3,0,5,13,454,386,104,37,PawnStar,W,1,,1,3,0,3,8,240,354,140,40,PawnStar,L,,1,2,3,0,3,7,251,383,149,31,PawnStar,L,,1,2,3,0,3,20,158,397,213,27,PawnStar,No,,,,,,,,,,,,PawnStar,L,,1,0,3,0,2,16,143,276,102,45,PawnStar,L,,1,1,3,0,3,40,217,323,131,27,PawnStar,L,,1,2,3,0,3,19,176,407,169,34,PawnStar,L,,1,0,3,0,2,4,58,223,116,61,PawnStar,L,,1,2,3,0,4,11,380,372,162,41,PawnStar,No,,,,,,,,,,,,PawnStar,No,,,,,,,,,,,,PawnStar,W,,,2,3,0,4,11,293,340,124,60,PawnStar,L,,1,1,3,0,4,34,172,374,124,30,PawnStar,L,,1,1,3,0,3,3,266,337,145,35,PawnStar,L,,1,0,3,0,3,32,131,336,171,35
