1,Rnk,Pts,K,D,SD,Min,Sec,DmgG,DmgR,PkD,HitPercent,2,Rnk,Pts,K,D,SD,Min,Sec,DmgG,DmgR,PkD,HitPercent,3,Rnk,Pts,K,D,SD,Min,Sec,DmgG,DmgR,PkD,HitPercent,4,Rnk,Pts,K,D,SD,Min,Sec,DmgG,DmgR,PkD,HitPercent,5,Rnk,Pts,K,D,SD,Min,Sec,DmgG,DmgR,PkD,HitPercent,6,Rnk,Pts,K,D,SD,Min,Sec,DmgG,DmgR,PkD,HitPercent,7,Rnk,Pts,K,D,SD,Min,Sec,DmgG,DmgR,PkD,HitPercent,8,Rnk,Pts,K,D,SD,Min,Sec,DmgG,DmgR,PkD,HitPercent,9,Rnk,Pts,K,D,SD,Min,Sec,DmgG,DmgR,PkD,HitPercent,10,Rnk,Pts,K,D,SD,Min,Sec,DmgG,DmgR,PkD,HitPercent
Maddie,4,1,2,3,0,2,45,204,312,168,34,Maddie,4,1,2,3,0,2,59,249,321,121,36,Maddie,3,2,2,3,0,3,19,279,344,137,29,Maddie,No,0,,,,,,,,,,Maddie,1,4,3,2,0,3,19,418,347,150,30,Maddie,3,2,4,3,0,3,11,302,393,159,31,Maddie,3,2,2,3,0,5,4,290,328,130,26,Maddie,2,3,2,3,0,4,53,424,379,166,17,Maddie,1,4,4,2,0,4,27,367,380,167,32,Maddie,4,1,2,3,0,2,28,205,348,165,38
marcman,3,2,2,3,0,5,6,445,392,149,30,marcman,1,4,5,2,0,5,10,525,434,173,27,marcman,1,4,5,2,0,5,47,517,424,173,43,marcman,4,1,2,3,0,4,1,375,343,153,47,marcman,2,3,3,3,0,4,59,281,388,156,30,marcman,1,4,3,2,0,4,19,372,323,126,28,marcman,1,4,4,2,0,6,0,488,338,153,25,marcman,3,2,2,3,0,5,25,258,462,174,31,marcman,1,4,1,2,0,6,33,402,420,179,29,marcman,1,4,2,2,0,3,40,278,298,142,32
meleemastr,3,2,2,3,0,3,2,329,271,136,27,meleemastr,3,2,2,3,0,3,3,300,318,116,35,meleemastr,4,1,4,3,0,2,23,305,341,155,47,meleemastr,1,4,2,2,0,2,48,193,277,114,32,meleemastr,1,4,5,2,0,4,58,581,322,174,37,meleemastr,3,2,2,3,0,4,26,336,362,157,45,meleemastr,2,3,3,3,0,5,18,363,467,194,28,meleemastr,2,3,4,3,0,3,13,278,375,143,38,meleemastr,1,4,6,2,0,3,20,484,311,179,42,meleemastr,3,2,2,3,0,5,31,398,430,169,28
MelReinH,2,3,2,3,0,4,24,392,324,114,38,MelReinH,2,3,2,3,0,5,10,439,327,134,34,MelReinH,2,3,2,2,0,7,0,294,403,190,35,MelReinH,2,3,4,3,0,4,37,525,395,213,30,MelReinH,1,4,5,2,0,5,4,469,369,142,38,MelReinH,2,3,2,3,0,4,30,212,366,121,39,MelReinH,3,2,4,3,0,3,20,246,275,128,30,MelReinH,1,4,3,2,0,4,41,468,330,145,37,MelReinH,1,4,3,2,0,4,37,383,328,155,35,MelReinH,1,4,5,2,0,5,34,359,333,131,33
MythrilZen,3,2,1,3,0,4,27,278,402,222,33,MythrilZen,2,3,3,3,0,3,13,190,402,151,36,MythrilZen,3,2,3,3,0,3,49,240,329,149,43,MythrilZen,3,2,2,3,0,3,57,297,312,163,30,MythrilZen,4,1,1,3,0,2,41,176,285,145,31,MythrilZen,4,1,1,3,0,2,12,215,200,101,44,MythrilZen,4,1,2,3,0,2,32,192,247,110,35,MythrilZen,4,1,2,3,0,3,3,233,292,151,41,MythrilZen,2,3,3,3,0,3,20,177,423,190,36,MythrilZen,4,1,2,3,0,3,3,241,376,146,28
NinjaKnyt,1,4,3,2,0,4,24,488,371,144,45,NinjaKnyt,1,4,4,2,0,6,36,435,339,155,36,NinjaKnyt,4,1,2,3,0,2,12,142,295,161,25,NinjaKnyt,1,4,5,2,0,4,10,402,272,143,40,NinjaKnyt,No,0,,,,,,,,,,NinjaKnyt,4,1,1,3,0,1,25,90,208,82,34,NinjaKnyt,3,2,3,3,0,5,58,432,378,171,27,NinjaKnyt,No,0,,,,,,,,,,NinjaKnyt,No,0,,,,,,,,,,NinjaKnyt,No,0,,,,,,,,,
Pariah,Lt,3,,,,,,,,,,Pariah,2,3,3,2,0,7,0,428,530,189,29,Pariah,3,2,4,3,0,4,21,438,437,142,31,Pariah,No,0,,,,,,,,,,Pariah,4,1,0,3,0,2,55,170,376,201,22,Pariah,2,3,5,3,0,3,54,458,465,155,36,Pariah,4,1,1,3,0,3,10,320,295,132,31,Pariah,3,2,2,3,0,3,39,305,373,140,26,Pariah,4,1,3,3,0,2,15,171,309,151,41,Pariah,No,0,,,,,,,,,
PawnStar,Lt,3,,,,,,,,,,PawnStar,3,2,4,3,0,4,38,369,323,114,30,PawnStar,2,3,1,2,0,7,0,238,419,148,25,PawnStar,3,2,1,3,0,2,9,94,260,99,32,PawnStar,3,2,3,3,0,4,44,306,328,130,39,PawnStar,4,1,1,3,0,2,57,243,292,108,38,PawnStar,3,2,1,3,0,3,38,233,363,122,35,PawnStar,4,1,1,3,0,3,15,225,259,131,42,PawnStar,4,1,0,3,0,3,11,154,302,104,39,PawnStar,2,3,4,3,0,3,21,209,393,158,35
PizzaThief,2,3,3,3,0,6,39,370,462,199,35,PizzaThief,3,2,0,3,0,3,43,234,369,150,26,PizzaThief,3,2,2,3,0,2,45,282,267,88,26,PizzaThief,1,4,3,2,0,6,8,430,398,179,37,PizzaThief,1,4,5,2,0,4,44,381,389,178,27,PizzaThief,3,2,2,3,0,3,40,276,414,187,23,PizzaThief,4,1,2,3,0,3,14,261,256,127,28,PizzaThief,3,2,5,3,0,4,38,481,374,159,33,PizzaThief,2,3,2,3,0,3,28,272,314,143,29,PizzaThief,1,4,5,2,0,5,8,317,347,162,36
Precision,1,4,4,1,0,3,18,395,153,132,36,Precision,1,4,6,2,0,4,45,467,402,148,39,Precision,1,4,2,2,0,7,0,612,684,292,37,Precision,1,4,8,1,0,3,36,679,186,114,49,Precision,1,4,3,2,0,4,59,419,316,118,36,Precision,1,4,5,1,0,4,30,454,323,184,42,Precision,1,4,5,1,0,5,18,461,325,173,42,Precision,1,4,7,1,0,5,44,730,202,186,39,Precision,1,4,3,1,0,5,23,621,211,171,51,Precision,2,3,4,3,0,5,34,490,419,158,37
RaptorKing,4,1,3,3,0,4,21,439,457,165,24,RaptorKing,4,1,1,3,0,2,27,165,372,157,16,RaptorKing,4,1,2,3,0,2,32,248,362,183,22,RaptorKing,No,0,,,,,,,,,,RaptorKing,4,1,1,2,1,1,23,199,219,119,29,RaptorKing,No,0,,,,,,,,,,RaptorKing,3,2,3,3,0,3,44,293,428,163,21,RaptorKing,No,0,,,,,,,,,,RaptorKing,3,2,3,3,0,2,14,256,295,121,23,RaptorKing,4,1,2,3,0,3,2,470,380,136,36
Rini,2,3,2,3,0,3,18,166,356,124,23,Rini,3,2,2,3,0,6,15,446,336,122,28,Rini,No,0,,,,,,,,,,Rini,No,0,,,,,,,,,,Rini,1,4,2,2,0,4,34,364,356,148,41,Rini,3,2,2,3,0,2,31,147,179,156,28,Rini,No,0,,,,,,,,,,Rini,4,1,1,3,0,2,26,134,292,141,18,Rini,2,3,1,3,0,3,53,397,406,156,43,Rini,1,4,3,1,0,3,19,414,263,157,42
Sheikmastr,3,2,4,3,0,3,7,283,306,120,44,Sheikmastr,2,3,5,3,0,4,10,429,324,112,32,Sheikmastr,2,3,2,3,0,3,26,457,358,119,32,Sheikmastr,4,1,2,3,0,2,54,192,260,140,26,Sheikmastr,3,,3,3,0,5,15,263,401,165,29,Sheikmastr,1,4,2,2,0,4,9,262,398,137,37,Sheikmastr,1,4,5,2,0,5,23,646,308,186,32,Sheikmastr,4,1,0,3,0,4,0,199,385,147,32,Sheikmastr,4,1,4,3,0,3,58,310,323,124,35,Sheikmastr,1,4,1,2,0,3,21,192,218,109,34
StmpkBunny,2,3,0,3,0,5,41,93,488,181,19,StmpkBunny,3,2,1,3,0,2,44,178,422,166,26,StmpkBunny,2,3,3,3,0,3,15,300,353,145,33,StmpkBunny,3,2,2,3,0,3,27,381,377,192,36,StmpkBunny,4,1,2,3,0,3,29,368,367,142,29,StmpkBunny,2,3,2,3,0,4,5,248,462,166,26,StmpkBunny,1,4,5,2,0,4,30,293,366,142,35,StmpkBunny,4,1,2,3,0,2,50,354,419,144,47,StmpkBunny,3,2,2,3,0,5,7,179,397,139,22,StmpkBunny,3,2,0,3,0,3,9,144,321,143,22
TaiyoEXE,1,4,6,1,0,5,41,588,285,146,35,TaiyoEXE,3,2,2,3,0,6,5,561,409,151,46,TaiyoEXE,1,4,3,2,0,4,25,544,286,133,31,TaiyoEXE,4,1,2,3,0,3,0,286,278,111,47,TaiyoEXE,1,4,5,2,0,4,19,384,394,142,35,TaiyoEXE,3,2,2,3,0,3,41,354,247,125,47,TaiyoEXE,2,3,4,3,0,6,25,405,486,201,48,TaiyoEXE,1,4,7,2,0,3,13,567,249,136,41,TaiyoEXE,1,4,5,2,0,3,53,497,281,139,57,TaiyoEXE,4,1,0,3,0,3,32,98,346,137,23
Us8,4,1,2,3,0,2,35,259,302,106,36,Us8,2,3,2,3,0,6,16,300,375,145,23,Us8,2,3,3,3,0,3,38,401,291,178,30,Us8,2,3,2,3,0,4,15,238,469,161,23,Us8,2,3,5,3,0,6,41,446,397,145,31,Us8,2,3,4,3,0,4,52,477,404,158,29,Us8,4,1,0,3,0,5,0,333,442,182,25,Us8,2,3,2,3,0,4,41,369,465,153,29,Us8,3,2,1,3,0,2,58,147,351,133,40,Us8,1,4,4,2,0,5,43,358,396,150,25
Zenith,4,1,2,3,0,2,56,155,293,137,19,Zenith,4,1,1,3,0,3,10,121,370,153,17,Zenith,1,4,2,2,0,3,38,203,243,126,41,Zenith,3,2,0,3,0,3,0,167,367,153,39,Zenith,No,0,,,,,,,,,,Zenith,No,0,,,,,,,,,,Zenith,2,3,2,3,0,4,55,206,346,151,26,Zenith,2,3,1,3,0,5,44,190,404,162,25,Zenith,No,0,,,,,,,,,,Zenith,4,1,3,3,0,4,58,317,352,127,28
Zero,1,4,4,2,0,6,39,431,311,148,32,Zero,1,4,5,2,0,6,16,337,340,177,26,Zero,2,3,2,3,0,4,25,306,375,129,36,Zero,1,4,3,2,0,5,2,317,345,141,31,Zero,1,,1,2,0,6,41,340,301,115,35,Zero,1,4,2,2,0,3,54,414,318,130,42,Zero,1,4,3,2,0,5,56,317,295,156,27,Zero,2,3,2,3,0,5,46,272,353,130,41,Zero,2,3,4,3,0,6,33,465,361,172,40,Zero,2,3,0,3,0,4,24,184,356,132,25
