1,Rnk,Pts,K,D,SD,Min,Sec,DmgG,DmgR,PkD,HitPercent,2,Rnk,Pts,K,D,SD,Min,Sec,DmgG,DmgR,PkD,HitPercent,3,Rnk,Pts,K,D,SD,Min,Sec,DmgG,DmgR,PkD,HitPercent,4,Rnk,Pts,K,D,SD,Min,Sec,DmgG,DmgR,PkD,HitPercent,5,Rnk,Pts,K,D,SD,Min,Sec,DmgG,DmgR,PkD,HitPercent,6,Rnk,Pts,K,D,SD,Min,Sec,DmgG,DmgR,PkD,HitPercent,7,Rnk,Pts,K,D,SD,Min,Sec,DmgG,DmgR,PkD,HitPercent,8,Rnk,Pts,K,D,SD,Min,Sec,DmgG,DmgR,PkD,HitPercent,9,Rnk,Pts,K,D,SD,Min,Sec,DmgG,DmgR,PkD,HitPercent,10,Rnk,Pts,K,D,SD,Min,Sec,DmgG,DmgR,PkD,HitPercent
GladWillow,Lt,3,,,,,,,,,,GladWillow,3,2,3,3,0,4,21,317,358,151,32,GladWillow,No,0,,,,,,,,,,GladWillow,No,0,,,,,,,,,,GladWillow,2,3,2,3,0,3,16,263,417,157,43,GladWillow,No,0,,,,,,,,,,GladWillow,2,,3,3,0,4,30,536,434,157,50,GladWillow,No,0,,,,,,,,,,GladWillow,3,2,3,3,0,2,50,253,321,114,50,GladWillow,2,3,3,3,0,3,3,137,383,163,31
Jereden,Lt,3,,,,,,,,,,Jereden,3,2,4,3,0,2,55,410,387,164,32,Jereden,4,1,2,3,0,2,50,294,359,140,37,Jereden,2,3,4,3,0,4,46,440,453,174,27,Jereden,3,2,0,3,0,3,9,366,399,174,44,Jereden,4,1,1,3,0,2,32,299,348,121,37,Jereden,1,,3,2,0,4,33,444,346,167,37,Jereden,2,3,1,3,0,3,1,279,375,164,32,Jereden,4,1,3,3,0,2,28,244,271,106,35,Jereden,3,2,2,3,0,3,4,166,294,131,32
KingONerds,3,2,1,3,0,1,57,135,317,126,30,KingONerds,4,1,3,3,0,2,21,133,369,186,32,KingONerds,2,3,2,3,0,4,34,434,450,175,30,KingONerds,2,3,2,3,0,3,30,296,375,164,28,KingONerds,4,1,2,3,0,3,43,228,393,155,27,KingONerds,4,1,0,3,0,3,27,154,275,120,26,KingONerds,1,,4,2,0,2,59,349,374,177,50,KingONerds,1,4,5,2,0,5,36,464,425,145,37,KingONerds,1,4,3,2,0,3,24,224,342,163,29,KingONerds,3,2,5,3,0,3,37,305,350,133,31
LeonStrife,2,3,1,3,0,2,59,177,313,137,17,LeonStrife,3,2,5,3,0,4,19,437,456,208,33,LeonStrife,1,4,4,2,0,4,51,551,471,171,36,LeonStrife,4,1,2,3,0,2,56,324,331,130,36,LeonStrife,4,1,2,3,0,2,59,267,408,152,36,LeonStrife,4,1,1,3,0,2,44,211,384,139,27,LeonStrife,2,,2,3,0,2,59,495,274,113,42,LeonStrife,4,1,2,3,0,3,30,396,427,206,41,LeonStrife,4,1,1,3,0,2,34,217,447,181,25,LeonStrife,4,1,1,3,0,2,26,168,338,123,28
Maddie,3,2,2,3,0,3,27,377,394,148,38,Maddie,4,1,0,3,0,3,4,178,435,189,37,Maddie,3,2,4,3,0,3,50,270,315,150,28,Maddie,No,0,,,,,,,,,,Maddie,2,3,7,3,0,3,49,296,461,183,21,Maddie,4,1,0,3,0,2,55,180,348,160,23,Maddie,4,,0,3,0,2,8,178,306,127,29,Maddie,3,2,3,3,0,2,45,212,338,120,25,Maddie,1,4,2,2,0,4,13,343,267,116,35,Maddie,2,3,3,3,0,2,55,333,364,140,31
marcman,1,4,6,1,0,3,16,337,208,137,25,marcman,No,0,,,,,,,,,,marcman,3,2,5,3,0,3,53,312,334,122,29,marcman,3,2,4,3,0,4,43,337,426,195,24,marcman,1,4,3,2,0,3,49,383,387,148,33,marcman,3,2,2,3,0,3,37,294,355,141,34,marcman,4,,1,3,0,2,46,201,310,123,25,marcman,1,4,3,2,0,4,50,438,371,143,47,marcman,2,3,3,3,0,4,13,306,310,123,33,marcman,1,4,5,2,0,5,2,524,289,141,37
meleemastr,1,4,6,2,0,3,32,415,258,119,39,meleemastr,1,4,4,2,0,3,33,388,378,171,34,meleemastr,2,3,1,3,0,5,8,318,363,141,27,meleemastr,4,1,2,3,0,4,3,400,450,209,33,meleemastr,2,3,2,3,0,4,50,486,315,122,35,meleemastr,1,4,7,2,0,4,22,478,292,131,41,meleemastr,3,,2,3,0,5,4,328,318,112,27,meleemastr,2,3,3,3,0,4,36,306,337,148,28,meleemastr,1,4,4,1,0,3,53,419,229,154,40,meleemastr,1,4,3,1,0,3,14,224,235,144,32
MelReinH,3,2,1,3,0,3,26,298,377,136,46,MelReinH,4,1,0,3,0,3,16,197,395,158,37,MelReinH,1,4,2,1,0,4,33,323,268,157,30,MelReinH,1,4,4,2,0,5,15,426,359,126,32,MelReinH,1,4,6,2,0,3,44,312,351,184,46,MelReinH,1,4,3,2,0,4,17,332,415,170,32,MelReinH,1,,6,2,0,6,25,595,413,132,46,MelReinH,3,2,1,3,0,3,28,236,325,127,34,MelReinH,4,1,0,3,0,2,3,234,191,112,41,MelReinH,3,2,4,3,0,2,52,290,290,109,17
MythrilZen,4,1,2,3,0,2,15,153,163,84,40,MythrilZen,2,3,3,3,0,3,46,245,353,157,36,MythrilZen,4,1,2,3,0,5,51,438,518,173,37,MythrilZen,3,2,0,3,0,3,4,251,307,121,37,MythrilZen,2,3,5,3,0,4,1,384,366,161,40,MythrilZen,2,3,3,3,0,5,9,487,419,161,31,MythrilZen,3,,2,3,0,3,42,425,352,134,30,MythrilZen,4,1,1,3,0,3,33,284,499,205,40,MythrilZen,1,4,4,2,0,7,0,489,596,239,27,MythrilZen,4,1,2,3,0,2,47,209,269,119,51
NinjaKnyt,2,3,4,2,1,3,11,385,253,126,47,NinjaKnyt,1,4,4,2,0,5,19,412,298,170,36,NinjaKnyt,3,2,2,3,0,2,43,222,267,97,40,NinjaKnyt,2,3,3,3,0,3,32,260,253,125,27,NinjaKnyt,No,0,,,,,,,,,,NinjaKnyt,1,4,7,2,0,6,33,399,370,129,38,NinjaKnyt,3,,2,3,0,3,49,324,219,98,49,NinjaKnyt,No,0,,,,,,,,,,NinjaKnyt,No,0,,,,,,,,,,NinjaKnyt,No,0,,,,,,,,,
