1,Pos,K,D,SD,Min,Sec,DmgG,DmgR,PkD,HitPercent,2,Pos,K,D,SD,Min,Sec,DmgG,DmgR,PkD,HitPercent,3,Pos,K,D,SD,Min,Sec,DmgG,DmgR,PkD,HitPercent,4,Pos,K,D,SD,Min,Sec,DmgG,DmgR,PkD,HitPercent,5,Pos,K,D,SD,Min,Sec,DmgG,DmgR,PkD,HitPercent,6,Pos,K,D,SD,Min,Sec,DmgG,DmgR,PkD,HitPercent,7,Pos,K,D,SD,Min,Sec,DmgG,DmgR,PkD,HitPercent,8,Pos,K,D,SD,Min,Sec,DmgG,DmgR,PkD,HitPercent
KingONerds,2,0,3,1,3,12,216,344,143,30,Fox,2,2,3,1,3,34,271,366,133,36,SOTRH,2,2,3,0,3,26,330,365,140,38,Force,1,4,2,1,3,28,522,292,131,64,CDJ,2,1,3,1,3,58,266,377,141,37,Fox,1,0,3,0,0,54,24,173,123,11,ASHEN,1,6,2,0,4,38,219,414,195,22,Jasuni,1,1,2,0,4,44,167,327,138,40
TAG,2,2,3,1,3,15,319,432,162,32,JMZ,1,2,3,0,2,10,256,288,123,50,KingONerds,2,2,3,1,3,45,350,350,123,33,Altinator,2,1,3,0,3,13,226,380,146,31,Szeth,1,3,2,1,3,58,391,323,130,48,Force,2,4,3,0,5,2,524,437,174,40,MM500,2,2,3,0,4,38,305,289,119,33,SOTRH,2,1,3,0,3,14,231,369,125,33
Precision,1,2,1,0,3,15,391,171,150,42,marcman!,1,3,2,1,3,48,443,248,119,45,Borkins,1,5,2,1,3,45,557,281,140,40,MM500,2,2,3,1,3,28,261,363,154,42,TAG,1,2,2,1,3,58,456,292,123,48,Sheik,2,1,3,0,4,20,316,388,153,30,Sharknado,1,0,3,0,2,31,163,362,153,26,Borkins,2,2,3,2,4,44,457,436,163,29
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Szeth,2,3,3,0,3,3,147,383,133,28,youngster,2,0,4,0,2,27,130,339,122,30,Jasuni,2,1,3,0,3,32,111,408,152,46,XY-10,2,1,3,0,2,23,214,326,131,25,youngster,2,0,3,1,2,56,245,346,140,31,Jasuni,2,5,3,0,3,57,345,215,102,65,Jeff,2,1,3,0,2,54,85,263,119,12,Force,1,3,2,0,2,16,382,211,103,43
Jasuni,2,0,3,0,3,27,344,278,142,48,Sharknado,1,2,2,0,2,50,371,265,117,45,PLSNERF,1,3,2,0,3,32,436,291,170,35,Sheik,1,3,2,0,3,52,406,251,103,35,Jasuni,2,2,3,0,4,0,199,367,133,52,Szeth,1,3,2,0,3,57,250,248,123,20,Varz,2,2,3,0,4,12,317,354,166,41,RABBITEARD,2,2,3,1,2,12,278,344,129,44
MM500,1,3,2,0,3,27,287,241,141,31,MM500,2,4,2,1,2,50,284,326,164,33,XY-10,1,3,3,0,2,36,212,293,130,51,Precision,1,3,1,0,3,52,378,169,85,52,SOTRH,1,4,1,1,4,0,358,205,106,50,Nemesis,1,3,3,0,3,57,326,332,184,29,Zenith,1,4,3,0,3,49,237,293,109,28,SOTRH,1,1,1,0,2,16,136,260,156,39
marcman!,1,3,1,0,3,27,272,263,159,31,KingONerds,1,3,2,0,2,50,349,234,115,44,TAG,2,4,3,0,3,26,346,282,162,37,ZERO,2,2,3,0,3,52,169,449,170,33,Varz,1,1,2,0,4,0,328,248,150,40,Pawn,2,0,3,0,2,52,148,339,132,32,US8,1,2,1,1,4,12,445,242,135,34,marcman!,2,1,3,1,2,16,234,279,127,41
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLSNERF,2,1,3,0,2,54,311,326,115,27,TAG,2,2,3,1,3,31,256,381,142,28,JMZ,2,1,3,0,4,9,239,427,153,17,PLSNERF,2,2,3,0,2,29,187,400,184,29,marcman!,1,3,1,0,4,35,447,289,149,44,SOTRH,2,0,3,0,4,20,283,376,163,40,Precision,1,3,1,0,4,7,485,178,121,53,PLSNERF,1,3,2,0,3,2,348,272,148,44
