1,Pos,K,D,SD,Min,Sec,DmgG,DmgR,PkD,HitPercent,2,Pos,K,D,SD,Min,Sec,DmgG,DmgR,PkD,HitPercent,3,Pos,K,D,SD,Min,Sec,DmgG,DmgR,PkD,HitPercent,4,Pos,K,D,SD,Min,Sec,DmgG,DmgR,PkD,HitPercent,5,Pos,K,D,SD,Min,Sec,DmgG,DmgR,PkD,HitPercent,6,Pos,K,D,SD,Min,Sec,DmgG,DmgR,PkD,HitPercent,7,Pos,K,D,SD,Min,Sec,DmgG,DmgR,PkD,HitPercent,8,Pos,K,D,SD,Min,Sec,DmgG,DmgR,PkD,HitPercent,9,Pos,K,D,SD,Min,Sec,DmgG,DmgR,PkD,HitPercent
,,,,,,,,,,,,,,,,,,,,,,XY-10,4,1,3,0,2,16,253,179,109,44,MM500,1,5,2,0,5,44,644,401,154,41,STABBY_M,3,3,3,0,3,42,378,372,149,36,Zero,1,2,2,0,3,30,274,235,127,46,Player 1,4,1,3,0,2,29,255,297,123,32,Player 1,4,0,3,0,2,1,,,,,PLSNERF,2,8,3,0,4,13,524,314,149,39
,,,,,,,,,,,,,,,,,,,,,,Sheik,1,6,2,0,3,18,302,261,152,26,Szeth,3,1,3,0,5,44,416,435,150,40,Elegance,4,1,3,0,2,55,212,367,150,27,Fox,4,4,3,0,2,38,249,324,130,36,STABBY_M,3,5,3,0,3,23,461,346,127,50,Samoose,2,5,3,0,4,0,363,405,146,31,SOTRH,1,1,2,0,4,13,276,236,146,50
,,,,,,,,,,,,,,,,,,,,,,Force,3,4,3,0,3,14,302,340,116,32,US8,2,1,3,0,5,44,288,458,184,27,Zero,2,4,3,0,6,24,456,485,172,43,marcman!,2,2,3,0,3,30,301,274,123,40,Szeth,2,3,3,0,3,50,177,337,152,38,Precision,1,4,2,0,4,0,496,301,139,40,XY-10,3,1,3,0,2,56,149,378,138,42
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AnimeFreak,4,3,3,0,4,54,235,383,173,28,Samoose,1,3,2,0,6,24,488,392,167,28,STABBY_M,3,3,3,0,3,8,347,350,118,33,PLSNERF,1,2,2,0,3,50,308,241,116,36,KingONerds,3,2,3,0,2,47,231,253,117,45,Player 4,4,1,3,0,1,39,,,,50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STABBY_M,2,4,3,0,4,5,361,393,152,21,US8,4,0,3,0,1,56,242,275,136,54,US8,1,4,2,0,6,20,478,436,151,32,KingONerds,1,5,1,0,4,5,347,244,150,31,Zenith,1,6,2,0,4,0,337,336,127,32,JediMaster,2,3,3,0,3,57,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Samoose,2,3,3,0,4,5,399,302,137,39,marcman!,3,3,3,0,3,13,269,376,141,35,Samoose,2,4,3,0,6,20,513,557,222,25,Vars,3,4,3,0,3,52,320,336,186,43,SOTRH,3,1,3,0,3,53,220,363,134,55,AnimeFreak,1,4,2,0,3,57,448,283,111,58
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JediMaster,4,0,3,0,1,33,89,301,117,38,Ben,2,6,3,0,3,58,417,379,169,39,Zenith,3,3,3,0,3,38,318,395,174,30,Elite V,4,0,3,0,2,49,102,323,136,22,Ben,2,3,3,0,4,0,665,321,140,40,STABBY_M,4,2,2,1,1,34,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zenith,1,4,2,0,4,5,333,309,108,36,Szeth,1,2,2,0,3,58,456,394,208,43,STABBY_M,4,0,3,0,2,23,124,346,119,19,XY-10,2,1,3,0,4,5,285,346,126,31,Szeth,4,1,3,0,3,39,119,422,154,28,US8,3,1,3,0,2,36,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Samoose,2,2,3,0,4,11,305,346,164,22,Waifu,4,0,3,0,1,8,0,0,0,0,PLSNERF,1,3,2,0,5,15,410,414,161,25,Ben,2,2,3,0,3,22,455,355,133,42,Fox,4,0,3,0,1,42,118,297,134,46,Player1,4,1,3,0,3,54,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CDJ,4,0,3,0,2,49,378,324,128,28,STABBY_M,2,6,3,0,3,2,244,463,181,33,Elegance,4,1,3,0,2,45,76,378,193,14,Samoose,1,5,2,0,3,22,463,318,126,42,Samoose,1,6,2,0,6,40,348,345,133,43,MM500,1,5,2,0,4,5,586,450,166,43
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Szeth,3,2,3,0,3,48,422,338,149,42,Elite V,1,3,2,0,3,2,333,195,95,39,Nemesis,2,4,3,0,5,15,430,400,172,36,MM500,4,0,3,0,2,39,168,353,122,30,US8,3,2,3,0,6,40,461,458,198,33,marcman!,2,2,2,0,4,5,397,395,154,34
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Precision,1,6,1,0,4,11,182,311,105,45,Player 4,3,1,2,1,2,36,181,146,93,23,Sheik,3,3,3,0,3,46,270,403,142,41,Fox,3,4,3,0,3,17,331,428,159,30,marcman!,2,2,2,0,6,40,464,307,115,49,KingONerds,3,2,3,0,4,5,232,448,227,28
