1,Pos,K,D,SD,Min,Sec,DmgG,DmgR,PkD,HitPercent,2,Pos,K,D,SD,Min,Sec,DmgG,DmgR,PkD,HitPercent,3,Pos,K,D,SD,Min,Sec,DmgG,DmgR,PkD,HitPercent,4,Pos,K,D,SD,Min,Sec,DmgG,DmgR,PkD,HitPercent,5,Pos,K,D,SD,Min,Sec,DmgG,DmgR,PkD,HitPercent,6,Pos,K,D,SD,Min,Sec,DmgG,DmgR,PkD,HitPercent,7,Pos,K,D,SD,Min,Sec,DmgG,DmgR,PkD,HitPercent,8,Pos,K,D,SD,Min,Sec,DmgG,DmgR,PkD,HitPercent,9,Pos,K,D,SD,Min,Sec,DmgG,DmgR,PkD,HitPercent
Nemesis,3,2,3,0,3,5,362,346,124,52,JediMaster,4,1,3,0,1,56,83,297,120,13,KingONerds,3,5,3,0,4,3,336,484,197,30,Elite V,2,6,3,0,4,16,647,378,159,37,thread.spk,2,5,3,0,2,45,243,404,155,33,Fox,3,3,3,0,3,23,284,448,174,26,MM500,2,2,3,0,4,3,402,342,128,37,Force,4,2,3,0,1,56,150,276,114,35,Elite V,3,1,3,0,2,51,331,288,145,34
Sharknado,1,5,1,0,3,28,390,294,154,34,LeonStrife,2,1,3,0,3,14,331,336,117,33,Zenith,4,0,3,0,3,21,263,361,140,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elite V,4,1,3,0,2,44,174,282,98,25,STABBY_M,2,6,3,0,4,17,446,326,141,36,Elite V,2,2,3,0,3,26,307,347,129,30,STABBY_M,4,2,3,0,2,29,268,275,110,35,Elegance,3,1,2,1,2,40,116,293,161,33,Force,2,6,3,0,3,26,415,338,149,39,Szeth,2,3,3,0,4,5,392,407,154,39,SOTRH,4,2,3,0,2,50,213,368,146,40,Precision,1,5,2,0,4,15,308,358,170,38
LeonStrife,1,4,2,0,3,31,427,256,113,48,XY-10,3,0,3,0,4,12,344,320,125,38,STABBY_M,3,5,3,0,3,24,360,328,114,33,JediMaster,3,1,3,0,2,36,185,293,116,29,Szeth,4,1,3,0,2,17,266,314,159,51,Vars,3,1,3,0,3,14,276,406,142,32,Sharknado,3,3,3,0,3,24,281,418,166,32,US8,3,3,3,0,3,52,316,386,172,32,Kronos,2,3,3,0,4,15,371,378,0,33
XY-10,4,0,3,0,2,10,209,328,128,32,marcman!,1,2,2,0,4,17,316,321,133,35,Force,1,3,2,0,3,26,393,352,130,45,King,2,3,3,0,3,28,255,452,178,33,Sharknado,2,4,3,0,3,9,470,337,124,33,STABBY_M,4,2,3,0,2,33,241,340,132,30,CDJ,4,2,3,0,3,24,232,291,143,28,Ben,1,4,2,0,4,10,538,290,105,40,Samoose,3,2,3,0,3,28,296,262,114,32
Zenith,2,3,3,0,3,31,212,456,0,28,AnimeFreak,2,2,3,0,3,22,298,384,161,33,AnimeFreak,4,1,3,0,1,48,142,267,101,34,thread.spk,1,5,2,0,3,28,318,354,113,36,LeonStrife,1,4,2,0,3,9,450,288,187,45,Samoose,1,2,2,0,3,26,393,311,163,31,marcman!,1,3,2,0,4,5,362,319,140,45,Sheik,2,2,3,0,4,10,325,378,155,39,thread.spk,4,1,3,0,2,58,184,302,129,41
Sheik,3,3,3,0,5,0,323,385,140,38,Precision,1,7,1,0,3,22,357,119,119,46,Samoose,2,4,3,0,6,39,474,516,172,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
marcman!,2,3,3,0,5,12,425,259,100,40,Zenith,3,0,3,0,2,15,85,311,110,29,marcman!,1,5,2,0,6,39,490,438,191,28,XY-10,3,2,3,0,3,38,305,346,164,40,STABBY_M,4,3,3,0,3,27,217,301,135,32,STABBY_M,3,0,3,0,2,47,148,285,121,29,Nemesis,1,3,2,0,4,18,522,347,168,46,AnimeFreak,2,3,3,0,4,23,319,349,162,47,MM500,1,5,2,0,5,51,424,425,237,36
AnimeFreak,1,4,2,0,5,12,476,363,164,39,Sharknado,4,1,3,0,2,7,281,255,125,31,thread.spk,3,0,3,0,5,14,287,368,152,34,marcman!,2,1,3,0,3,44,378,324,128,45,Zero,2,1,3,0,5,1,362,384,164,39,XY-10,4,1,3,0,2,25,384,294,139,50,XY-10,4,2,3,0,3,2,244,417,173,43,Nemesis,4,1,3,0,1,55,170,244,110,38,Player 2,4,2,3,0,4,10,,,,
Samoose,4,0,3,0,1,56,112,287,136,33,Szeth,2,4,3,0,3,18,366,366,144,43,Szeth,4,3,3,0,2,43,316,251,127,31,Ben,1,7,2,0,3,44,422,338,149,37,Ben,3,3,3,0,4,49,511,427,150,29,Elegance,2,1,3,0,3,14,82,361,131,17,Sheik,2,4,3,0,4,18,388,323,119,43,PLSNERF,3,3,3,0,3,22,399,364,147,33,Ben,2,3,3,0,5,51,509,462,194,29
STABBY_M,4,2,3,0,3,7,221,318,135,27,GLORFINDEL,4,0,3,0,2,39,155,339,150,25,Elegance,2,3,3,0,3,57,277,397,152,25,Elite V,4,1,3,0,2,45,182,311,105,36,thread.spk,1,4,2,0,5,1,349,370,132,27,US8,1,7,0,0,3,14,472,209,209,44,US8,3,2,3,0,3,41,301,441,191,27,Precision,1,3,1,0,4,23,294,275,161,36,Nemesis,3,1,3,0,4,18,378,345,132,32
CLOCK,2,4,3,0,5,35,465,292,111,35,SOTRH,2,5,3,0,4,7,501,260,106,35,STABBY_M,3,3,3,0,3,30,366,362,147,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emfrald,1,2,2,0,5,35,347,346,156,37,KingONerds,3,3,3,0,3,55,265,409,151,35,SOTRH,1,2,2,0,3,57,334,307,152,35,US8,2,3,2,0,6,22,328,507,177,31,AnimeFreak,3,1,3,0,2,24,216,351,129,28,Samoose,2,5,3,0,4,12,402,432,194,32,Zero,1,3,2,0,5,26,456,383,140,34,Player 1,4,0,3,0,2,26,,,,,Sheik,1,1,2,0,4,38,363,364,142,41
iSUCK,4,1,3,0,4,7,141,381,155,24,STABBY_M,1,3,2,0,4,7,314,343,136,31,Sheik,2,2,3,0,4,50,451,313,127,38,GLORFINDEL,4,1,3,0,4,39,253,389,150,28,CDJ,2,2,3,0,3,58,232,320,121,31,Elite V,4,0,3,0,1,46,107,261,101,27,thread.spk,2,3,2,0,5,26,394,393,172,36,STABBY_M,3,2,3,0,4,9,254,355,134,29,Force,2,6,3,0,4,38,534,433,156,39
Zinga,3,4,3,0,2,36,402,298,124,38,Samoose,2,1,3,0,4,40,366,326,131,27,Samoose,4,1,3,0,2,30,201,308,131,29,Sheik,3,2,3,0,6,22,360,480,201,28,XY-10,4,3,3,0,2,10,274,264,96,41,Precision,1,4,2,0,4,12,407,258,181,45,AnimeFreak,4,2,3,0,5,11,428,472,160,46,marcman!,1,5,2,0,5,45,476,288,120,43,Elegance,4,0,2,1,2,23,76,287,147,36
JediMaster,3,3,3,0,2,25,243,357,174,33,Precision,1,6,1,0,4,40,494,313,170,38,Sharknado,3,3,3,0,4,40,222,466,163,28,MM500,1,4,2,0,6,22,696,405,181,35,Samoose,1,5,2,0,3,58,419,331,153,31,marcman!,3,2,3,0,3,38,331,311,117,31,LeonStrife,3,2,3,0,5,26,409,483,176,41,KingONerds,2,4,3,0,5,45,382,341,142,33,STABBY_M,3,3,3,0,3,41,426,358,144,37
Zero,2,2,3,0,5,30,268,321,126,37,US8,3,2,3,0,3,37,311,397,153,34,Ben,1,5,2,0,4,50,563,373,159,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
